Iteration;Stock price;Amount available
241;132.6626986634;21026
242;116.0754897230;21026
243;100.0314989000;21026
244;85.6452727839;21026
245;97.2454073681;21043
246;120.7081153440;21025
247;135.1862789541;21084
248;170.1236090365;21083
249;204.0778000112;21082
250;170.6244122757;21082
251;162.4302726439;21082
252;148.8235522959;21082
253;118.6351626734;21082
254;101.4331064385;21082
255;121.3332741939;21068
256;145.8655305425;21066
257;175.0423638945;21017
258;138.1322937669;21017
259;151.5001041664;21032
260;132.5536622142;21032
261;113.3445793928;21032
262;105.5762813088;21032
263;82.4016367259;21032
264;70.0538682009;21032
265;77.5560143700;21046
266;87.5703379201;21044
267;95.4158398573;21093
268;111.9070813844;21121
269;132.8925233833;21103
270;113.5944549743;21103
271;94.6423916841;21103
272;80.3766310599;21103
273;68.5052265334;21103
274;58.6860641682;21103
275;71.7303834225;21086
276;61.3265049246;21086
277;77.5443422215;21016
278;95.6758807073;20981
279;98.7414424411;21049
280;84.4449133553;21049
281;71.8484229256;21049
282;64.0745246485;21049
283;61.4215678635;21049
284;67.4057357121;21130
285;74.1125564138;21147
286;63.2687061664;21147
287;65.4149783373;21217
288;69.2429553208;21252
289;85.3148684442;21158
290;72.9356627158;21158
291;62.1129716389;21158
292;54.4898738661;21158
293;45.0324690303;21158
294;54.6866825271;21048
295;68.2345329504;21027
296;60.7497741984;21027
297;76.9482512536;20954
298;94.4464422867;20925
299;108.4264553256;20926
300;92.6958009147;20926
301;77.5088178438;20926
302;63.8943616296;20926
303;51.1571398783;20926
304;43.7392969009;20926
305;48.5648069126;20946
306;59.2949102618;20945
307;70.7281527060;21018
308;78.1931449316;21047
309;87.5483181053;21069
310;74.1899470477;21069
311;63.4296781858;21069
312;50.4046672410;21069
313;43.2457263910;21069
314;51.7423007118;21179
315;58.7381229966;21163
316;48.8291046678;21163
317;56.9958238893;21074
318;75.6394345868;21037
319;94.7713524751;21014
320;87.7077328862;21014
321;78.7536291930;21014
322;62.5048446911;21014
323;53.4429040211;21014
324;68.4399234150;20925
325;83.3386004947;20924
326;73.4639008611;20924
327;92.2686871006;20924
328;88.3179124499;20924
329;97.3013193024;20948
330;80.9999375285;20948
331;63.4046815489;20948
332;54.3115488094;20948
333;49.8517098412;20948
334;54.8352733868;21037
335;60.6762447730;21055
336;51.8781892748;21055
337;53.1263790430;21144
338;65.2523097780;21181
339;75.4893290866;21216
340;62.2082552595;21216
341;47.1200901303;21216
342;40.2709281499;21216
343;43.4230641941;21276
344;56.6106073902;21173
345;68.1913548470;21156
346;57.5296168775;21156
347;72.7371765436;21076
348;89.9611765596;21049
349;110.8307270749;21000
350;94.7378175764;21000
351;80.9967968988;21000
352;62.9630644808;21000
353;77.8058289542;20962
354;70.3029172292;20962
355;77.7268753325;20962
356;66.3923580043;20962
357;82.2715761624;20962
358;70.3487550583;20962
359;77.9933652926;21045
360;66.1529654766;21045
361;56.4977627364;21045
362;49.6713932371;21045
363;55.1839771996;21083
364;49.5385169594;21083
365;56.1604292219;21099
366;47.8705594204;21099
367;52.7753741429;21179
368;56.4388401380;21206
369;73.6874198469;21101
370;61.8222722695;21101
371;58.2437607576;21101
372;49.4044251728;21101
373;61.0256921946;21063
374;49.6540296062;21063
375;59.9304335419;21047
376;51.2948776175;21047
377;61.8360193738;20972
378;71.3570047048;20949
379;77.7133326241;20950
380;63.8089619479;20950
381;54.1895546845;20950
382;46.3359789340;20950
383;51.3143051398;20988
384;42.9605892476;20988
385;47.7679210881;21004
386;40.7776364242;21004
387;45.3582353688;21079
388;49.3435534644;21102
389;53.4803285339;21204
390;42.0192485634;21204
391;34.2627813624;21204
392;37.5683577124;21259
393;44.2758354930;21212
394;48.9114285246;21315
395;59.1775281984;21301
396;50.5079956107;21301
397;69.6562874396;21241
398;84.5657072124;21226
399;105.7924451525;21166
400;88.4052126650;21166
401;71.8824550603;21166
402;87.9949081671;21140
403;74.8026626359;21140
404;92.8762876222;21079
405;118.2542109344;21079
406;97.2084480898;21079
407;111.8835032679;21079
408;101.7634369147;21079
409;114.7910585338;21079
410;104.8665815888;21079
411;89.6609378394;21079
412;75.4518514880;21079
413;64.5039448674;21079
414;70.3921747028;21140
415;77.2653997383;21140
416;70.7149834957;21140
417;81.3891443094;21140
418;70.8493230785;21140
419;76.6074778395;21200
420;65.4898668919;21200
421;51.8969760717;21200
422;57.0477521041;21226
423;48.7115770426;21226
424;64.8848091101;21146
425;73.6124345406;21147
426;55.1732388816;21147
427;62.1031868355;21207
428;66.7298581575;21222
429;80.9112603272;21159
430;66.4809077786;21159
431;56.7733182637;21159
432;71.3812078145;21135
433;61.0302076339;21135
434;52.0121343999;21135
435;55.8493628978;21147
436;48.2834424958;21147
437;61.0554282242;21078
438;77.9226814735;21063
439;92.0679493579;21090
440;77.7771019172;21090
441;69.2965513529;21090
442;59.7729689557;21090
443;47.3272790350;21090
444;51.9335051539;21170
445;58.2277295020;21158
446;49.3262053102;21158
447;54.4405429107;21227
448;66.3775538726;21242
449;80.1236832298;21247
450;76.7065984257;21247
451;73.1937109654;21247
452;63.0804262478;21247
453;54.0527579070;21247
454;69.1219092945;21177
455;83.2224860385;21176
456;72.1393299373;21176
457;89.6246042414;21129
458;104.2434176541;21120
459;114.5263747080;21096
460;107.6947110576;21096
461;83.2075078820;21096
462;75.5119782497;21096
463;61.8897212024;21096
464;51.0567697993;21096
465;61.8539795044;21110
466;52.4241555711;21110
467;58.0872305838;21157
468;63.8689903978;21166
469;67.6443678148;21222
470;52.3456572401;21222
471;44.9259252215;21222
472;45.3691652353;21246
473;40.5171730797;21246
474;48.7450580160;21315
475;58.6620890425;21301
476;46.6662853117;21301
477;60.5120644392;21248
478;71.4104856395;21239
479;88.5141672725;21190
480;75.7890978112;21190
481;65.1288215402;21190
482;78.8276779230;21174
483;64.2557121833;21174
484;79.7316607975;21130
485;85.6247464478;21131
486;73.6768310479;21131
487;84.1784427865;21131
488;75.4131553355;21131
489;84.1263029941;21157
490;77.3735697212;21157
491;66.1493779826;21157
492;77.1371900544;21173
493;71.4895225647;21173
494;67.4695829394;21173
495;79.2038612149;21171
496;61.3455420838;21171
497;70.0611888479;21171
498;59.8407620215;21171
499;71.4528600486;21160
500;60.1053218642;21160
501;50.5532043445;21160
502;66.0003497793;21138
503;56.4373706027;21138
504;62.3762498329;21183
505;70.2252950448;21185
506;59.9556475682;21185
507;69.0056620835;21185
508;65.0158314775;21185
509;78.7702788123;21198
510;68.2667612999;21198
511;60.9754716891;21198
512;52.1353646874;21198
513;45.3939845428;21198
514;54.0642458858;21142
515;60.2413773358;21154
516;52.2151959029;21154
517;58.2375429760;21207
518;61.2852647438;21216
519;68.9268525538;21201
520;52.9902014712;21201
521;45.2869894306;21201
522;45.1618733168;21223
523;36.2091395305;21223
524;39.6515828604;21279
525;42.1798250047;21261
526;36.6128811733;21261
527;42.4528062998;21185
528;51.4202793885;21173
529;60.1768510027;21184
530;55.7628015340;21184
531;47.6749333660;21184
532;57.9953923751;21163
533;51.1423917209;21163
534;63.2128903968;21124
535;72.2299820121;21125
536;58.2598276735;21125
537;65.3568827422;21125
538;55.1477705744;21125
539;67.0153041570;21093
540;57.3011246941;21093
541;48.9992266243;21093
542;53.9527847074;21114
543;46.0911441914;21114
544;50.5930746641;21153
545;57.5691035821;21151
