Iterations;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Agent 6;Agent 7;Agent 8;Agent 9;Agent 10
56;771.7153882438517;763.1811116366459;639.5211200825028;634.7635770930559;828.311837868632;434.8753697821961;438.06593898710497;824.0892028715643;437.8623619530438;440.82356516678726
57;550.7833437889246;519.4935671241568;634.9593166703318;639.2539384618658;823.8660159860628;437.75851429182853;435.2479004726698;828.3953262882262;440.90601547138033;437.9182985277118
58;761.312626625032;677.1852855175493;639.4137222920647;635.0929284410848;828.6985218890105;440.8649096063264;438.3388998870264;824.2288971717626;438.17606511298015;440.6670361662632
59;438.3388998870264;538.2970947440743;634.726513525343;639.4926785816039;824.3925205028296;437.65805465332977;441.338078063132;828.6554590325978;440.9834378062199;443.7186154570406
60;778.1567968024731;795.1859009585745;639.3061459974135;634.6433509317231;828.2327160978499;440.3955554554675;438.1261728636305;824.2633612769271;444.00749261235944;440.8814672413525
61;532.1778013786994;499.28288194745386;634.2075928488695;639.6682104545232;824.3236957073243;443.1045783997469;440.96839313926415;827.9150933210623;440.9317506025546;443.9224291573941
62;232.51726948608467;319.32680320491545;639.9463928974062;642.7468529547948;828.2578895667392;470.30364474216304;465.25628617611926;830.7027467482208;468.3130886632803;466.78607030140927
63;675.5704716889808;106.3779924942368;642.7656101642866;639.9772788525214;831.3129878115935;467.0182994835263;468.1102470721965;827.4662522860563;465.4365894843886;469.716362345632
64;285.3957872111267;306.7711134540029;640.0526828888078;642.7896705190409;827.1964437482615;469.8762096886407;464.9489601921622;831.2474642086831;468.64147469464586;466.9679841969011
65;722.9178442727452;796.3620890307027;642.8866502112226;639.6612385745824;831.6337611762344;467.0477339394117;468.2120366042499;827.3054572692992;471.71170624689796;469.8119714438476
66;537.820708038437;535.9114877961206;639.9447674563619;642.7269618288537;827.1695347143547;470.1788052726168;464.93047947485303;831.9217354708039;468.5498459884829;467.0130400346821
67;772.2591170744888;227.3142350940547;643.1815032357911;639.7865176425753;831.4508122631098;466.94540023826943;467.8874416740187;826.703490040934;465.4298075538327;469.9254791431406
68;324.073541677978;342.89010394897844;639.613106880796;642.8983359110559;826.3835692517465;469.7850923622698;464.7142452350687;831.842212658109;468.4870135662032;466.86481410870084
69;680.0562177917545;788.9691295423963;642.8559853247573;639.3821067135672;831.8039322936171;466.54320190953;468.00184738225624;826.2801471783705;471.1941664352397;469.7059869593946
70;555.0588085838009;214.49131361772032;639.3807021261309;642.9300872313113;826.5640686499481;469.79353211157775;465.0552047903807;832.2787959070142;468.19643402429597;472.9481545348661
71;310.2952395858687;363.30275494101556;643.1391079888605;639.2713442720838;831.8887684768912;466.5386894902386;468.4913170441755;827.111066199236;471.0983125365592;470.014228129875
72;667.80927828145;145.81477559502932;639.4249779070531;643.4012712429793;827.007617389141;469.4075492875829;471.61345821223284;832.2330134326787;468.18619022880824;472.938781360733
73;277.2811663658758;326.16483263247625;643.1285827508492;639.4683386225233;832.720749900836;466.21597464185345;474.5531629490161;826.5226572158535;470.99167534170516;469.91368907019813
74;770.3883116364309;727.6750178496948;639.7845146573779;643.0156575904425;826.5272916636321;470.1443243265865;470.7066072415366;832.2842592901471;467.8731220673278;472.7872566763986
75;589.3839050984342;218.55093203660556;643.0305493520524;646.1856982939527;832.2410584482012;493.68449591196264;497.87709577009434;829.5124417458816;492.34579454323335;499.2267515960006
76;379.3511196924311;320.74656516885335;645.9669060018018;643.1778601333525;828.966056522799;490.8334775778628;500.63188884848864;832.4073663913588;499.7245066947926;526.4217519881139
77;789.4053020244858;761.5060478177539;642.9443382027231;616.4177362851125;832.3664868243873;499.04413263538686;497.45788537292816;809.5949427273441;502.63510336115854;503.23056606036596
78;731.6834549887602;736.0445809751847;615.9889265104724;643.3305723468561;810.9322094726185;502.400559488579;500.2098394763214;787.9150740207515;505.4640763101686;499.93945739300557
79;500.2098394763214;677.943219182896;640.6947859206509;615.9041356033803;785.7047095898018;499.13992122777273;502.9301615547158;810.8884266936514;502.69965858209986;503.1919606003801
80;584.3602967954183;507.53551396354095;614.0285680250657;642.456891832381;810.420152609643;502.8302734559514;499.6716132725924;785.9719088911511;505.756710133786;499.9813960721037
81;713.329435646965;695.1592143915154;636.8727858749237;637.3931924270075;783.9397283250929;505.61011275266344;505.2650314577621;811.634774302114;508.9342141392448;507.3191268234442
82;625.0239621916709;570.7105938705723;639.7168227047231;634.3679148028186;808.9579990030292;508.51937276740716;508.37361952822323;788.3872686829831;506.0468495052608;510.0839478456326
83;508.37361952822323;617.9375462768646;634.3664202589865;640.0961064469349;787.0058149010531;505.52763990589733;533.6709395676978;785.2203278953496;508.83273723470177;507.039788478702
84;271.05102376225204;767.5000338346108;640.3144629483186;642.9696240085549;784.2729625957393;508.95522341053146;506.5883432841391;788.4655938190699;532.9024281233166;509.7856033552999
85;130.37228191758066;396.4133299193601;643.5438746226929;640.0020980653537;788.8697835410343;512.0920101417483;481.4232707799521;791.7057949054171;513.939992680063;512.8798894364085
86;249.44949091575947;319.48648987779467;640.0771140082032;643.7970587698696;791.7780851865841;515.2708890603182;504.28038836301357;788.7113735696968;510.8794500521656;510.1195845456185
87;424.6382079094411;391.14851875629;644.0502915641475;640.0672851840811;788.6091138710824;510.5443839171544;509.72994671327314;791.5187816375072;514.925765106547;515.6124854581723
88;181.0630183650665;735.6262491818386;640.22350140319;643.9551759677;791.7699061451275;515.1189443766381;515.0030842593508;794.6410059998689;517.8403276505561;512.7815307410332
89;316.4499457859602;317.82946029088566;644.2224223203078;640.2349363657102;794.5198514097373;518.2491219092618;517.7729614205531;791.6035313397001;543.6472943681509;517.4431590755461
90;168.41013102851224;390.7031179200456;640.2886672082956;644.2302820997867;791.4067391808437;515.1952707265328;514.8161924270466;794.8318196837814;519.8227182753551;520.2546250945662
91;267.95622205654803;302.23860129091605;644.122561643252;640.4786927498664;794.9197335233966;512.4812312302264;517.5489225256142;791.6897431308405;522.7077145677231;516.9619079997564
92;439.95814860451287;137.80417509702903;640.3303765285734;637.3909110864698;791.7840323916238;517.909376963536;522.7016975528992;794.4831692912994;497.61169857635656;522.2186851911378
93;285.5164580447372;312.0432187039921;637.4976356106711;640.2174744950445;794.5489715151779;522.543881266351;519.8190504320062;791.1923906689992;518.9202706085302;524.9619748187656
94;137.7982031078028;399.7825359796685;640.558023208808;637.2689825344212;790.983333888664;525.4547664162448;516.641718533886;794.6184550880436;521.6725803377558;521.7195047772196
95;278.53901613200816;250.97898774044882;637.4475925195218;640.3823704790585;794.5816240617302;521.7428247816546;521.9992995425728;790.6842283648808;524.7542516120225;518.6310963104537
96;392.9422134561766;367.8446982769983;640.1661578208094;637.2163172435053;790.9798650599757;524.9392139078086;519.2190366849685;794.5908453034427;521.9953422582303;524.1757825995669
97;781.7699877435181;680.9349480300732;637.3896645632138;640.4195736375658;794.7965403755961;522.2151679324136;522.071241940973;791.2998557571034;524.7622170673149;527.2400155332465
98;588.0138161124177;553.413755000028;640.4731945986697;637.4212687696082;791.4068475798422;519.4075129936567;525.1765273643227;794.6715922792928;527.9279747541709;524.401099934393
99;652.7450988945913;714.5520526498706;637.5291909916451;640.5388219846716;794.3699232192229;524.4625153840487;522.3775590207713;791.730508658577;525.2052565188203;527.2736584980938
100;529.358551166818;611.3220787392348;640.2874148340107;637.5289642937269;791.6230340543221;527.5631536007838;525.3547678082117;794.4340211676945;522.1852827367991;524.1131046081501
101;731.2537961745807;670.0819360709397;637.1455665411179;640.526311794117;794.547282202126;530.7211408605272;522.5412733957178;791.350819871494;524.988031769801;526.8499056373519
102;624.332193034036;603.8253392598313;640.4494882997028;637.2637236568808;791.3731582258106;527.2341699613834;525.5981186621184;794.8170681090305;527.744458701661;523.6816795230264
